,day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
87,86-87,3.58515355292077E-07,3.58515355292077E-07,3.58515355292077E-07,3.58515355292077E-07,3.58515355292077E-07,3.58515355292077E-07,3.58515355292077E-07
88,87-88,2.8846546595851E-07,2.8846546595851E-07,2.8846546595851E-07,2.8846546595851E-07,2.8846546595851E-07,2.8846546595851E-07,2.8846546595851E-07
89,88-89,2.3198312537609E-07,2.3198312537609E-07,2.3198312537609E-07,2.3198312537609E-07,2.3198312537609E-07,2.3198312537609E-07,2.3198312537609E-07
90,89-90,1.86466356688619E-07,1.86466356688619E-07,1.86466356688619E-07,1.86466356688619E-07,1.86466356688619E-07,1.86466356688619E-07,1.86466356688619E-07
91,90-91,1.49806602567359E-07,1.49806602567359E-07,1.49806602567359E-07,1.49806602567359E-07,1.49806602567359E-07,1.49806602567359E-07,1.49806602567359E-07
92,91-92,1.20296363537165E-07,1.20296363537165E-07,1.20296363537165E-07,1.20296363537165E-07,1.20296363537165E-07,1.20296363537165E-07,1.20296363537165E-07
93,92-93,9.65538645703035E-08,9.65538645703035E-08,9.65538645703035E-08,9.65538645703035E-08,9.65538645703035E-08,9.65538645703035E-08,9.65538645703035E-08
94,93-94,7.74616666365802E-08,7.74616666365802E-08,7.74616666365802E-08,7.74616666365802E-08,7.74616666365802E-08,7.74616666365802E-08,7.74616666365802E-08
95,94-95,6.21166867942335E-08,6.21166867942335E-08,6.21166867942335E-08,6.21166867942335E-08,6.21166867942335E-08,6.21166867942335E-08,6.21166867942335E-08
96,95-96,4.9789540490508E-08,4.9789540490508E-08,4.9789540490508E-08,4.9789540490508E-08,4.9789540490508E-08,4.9789540490508E-08,4.9789540490508E-08
97,96-97,3.98914974386599E-08,3.98914974386599E-08,3.98914974386599E-08,3.98914974386599E-08,3.98914974386599E-08,3.98914974386599E-08,3.98914974386599E-08
98,97-98,3.19476421983822E-08,3.19476421983822E-08,3.19476421983822E-08,3.19476421983822E-08,3.19476421983822E-08,3.19476421983822E-08,3.19476421983822E-08
99,98-99,2.5575096818109E-08,2.5575096818109E-08,2.5575096818109E-08,2.5575096818109E-08,2.5575096818109E-08,2.5575096818109E-08,2.5575096818109E-08
100,99-100,2.04653606283856E-08,2.04653606283856E-08,2.04653606283856E-08,2.04653606283856E-08,2.04653606283856E-08,2.04653606283856E-08,2.04653606283856E-08
101,100-101,1.63700002442368E-08,1.63700002442368E-08,1.63700002442368E-08,1.63700002442368E-08,1.63700002442368E-08,1.63700002442368E-08,1.63700002442368E-08
102,101-102,1.3089063055638E-08,1.3089063055638E-08,1.3089063055638E-08,1.3089063055638E-08,1.3089063055638E-08,1.3089063055638E-08,1.3089063055638E-08
103,102-103,1.04617020602049E-08,1.04617020602049E-08,1.04617020602049E-08,1.04617020602049E-08,1.04617020602049E-08,1.04617020602049E-08,1.04617020602049E-08
104,103-104,8.35859481629342E-09,8.35859481629342E-09,8.35859481629342E-09,8.35859481629342E-09,8.35859481629342E-09,8.35859481629342E-09,8.35859481629342E-09
105,104-105,6.6758177874604E-09,6.6758177874604E-09,6.6758177874604E-09,6.6758177874604E-09,6.6758177874604E-09,6.6758177874604E-09,6.6758177874604E-09
106,105-106,5.32989907764403E-09,5.32989907764403E-09,5.32989907764403E-09,5.32989907764403E-09,5.32989907764403E-09,5.32989907764403E-09,5.32989907764403E-09
107,106-107,4.25382640223404E-09,4.25382640223404E-09,4.25382640223404E-09,4.25382640223404E-09,4.25382640223404E-09,4.25382640223404E-09,4.25382640223404E-09
108,107-108,3.39382688618883E-09,3.39382688618883E-09,3.39382688618883E-09,3.39382688618883E-09,3.39382688618883E-09,3.39382688618883E-09,3.39382688618883E-09
109,108-109,2.70677136260389E-09,2.70677136260389E-09,2.70677136260389E-09,2.70677136260389E-09,2.70677136260389E-09,2.70677136260389E-09,2.70677136260389E-09
110,109-110,2.15808260151107E-09,2.15808260151107E-09,2.15808260151107E-09,2.15808260151107E-09,2.15808260151107E-09,2.15808260151107E-09,2.15808260151107E-09
111,110-111,1.72005332199632E-09,1.72005332199632E-09,1.72005332199632E-09,1.72005332199632E-09,1.72005332199632E-09,1.72005332199632E-09,1.72005332199632E-09
112,111-112,1.37048916659666E-09,1.37048916659666E-09,1.37048916659666E-09,1.37048916659666E-09,1.37048916659666E-09,1.37048916659666E-09,1.37048916659666E-09
113,112-113,1.09162046069144E-09,1.09162046069144E-09,1.09162046069144E-09,1.09162046069144E-09,1.09162046069144E-09,1.09162046069144E-09,1.09162046069144E-09
114,113-114,8.69225580402144E-10,8.69225580402144E-10,8.69225580402144E-10,8.69225580402144E-10,8.69225580402144E-10,8.69225580402144E-10,8.69225580402144E-10
115,114-115,6.91927515283908E-10,6.91927515283908E-10,6.91927515283908E-10,6.91927515283908E-10,6.91927515283908E-10,6.91927515283908E-10,6.91927515283908E-10
116,115-116,5.50627765605327E-10,5.50627765605327E-10,5.50627765605327E-10,5.50627765605327E-10,5.50627765605327E-10,5.50627765605327E-10,5.50627765605327E-10
117,116-117,4.38053815443595E-10,4.38053815443595E-10,4.38053815443595E-10,4.38053815443595E-10,4.38053815443595E-10,4.38053815443595E-10,4.38053815443595E-10
118,117-118,3.48393980331707E-10,3.48393980331707E-10,3.48393980331707E-10,3.48393980331707E-10,3.48393980331707E-10,3.48393980331707E-10,3.48393980331707E-10
119,118-119,2.77006528826007E-10,2.77006528826007E-10,2.77006528826007E-10,2.77006528826007E-10,2.77006528826007E-10,2.77006528826007E-10,2.77006528826007E-10
120,119-120,2.20184870336482E-10,2.20184870336482E-10,2.20184870336482E-10,2.20184870336482E-10,2.20184870336482E-10,2.20184870336482E-10,2.20184870336482E-10
121,120-121,1.7497048254711E-10,1.7497048254711E-10,1.7497048254711E-10,1.7497048254711E-10,1.7497048254711E-10,1.7497048254711E-10,1.7497048254711E-10
122,121-122,1.39003253352143E-10,1.39003253352143E-10,1.39003253352143E-10,1.39003253352143E-10,1.39003253352143E-10,1.39003253352143E-10,1.39003253352143E-10
123,122-123,1.10399911434911E-10,1.10399911434911E-10,1.10399911434911E-10,1.10399911434911E-10,1.10399911434911E-10,1.10399911434911E-10,1.10399911434911E-10
124,123-124,8.76594352661186E-11,8.76594352661186E-11,8.76594352661186E-11,8.76594352661186E-11,8.76594352661186E-11,8.76594352661186E-11,8.76594352661186E-11
125,124-125,6.95851154475235E-11,6.95851154475235E-11,6.95851154475235E-11,6.95851154475235E-11,6.95851154475235E-11,6.95851154475235E-11,6.95851154475235E-11
126,125-126,5.52234924455774E-11,5.52234924455774E-11,5.52234924455774E-11,5.52234924455774E-11,5.52234924455774E-11,5.52234924455774E-11,5.52234924455774E-11
127,126-127,4.38149516668318E-11,4.38149516668318E-11,4.38149516668318E-11,4.38149516668318E-11,4.38149516668318E-11,4.38149516668318E-11,4.38149516668318E-11
128,127-128,3.47547546297733E-11,3.47547546297733E-11,3.47547546297733E-11,3.47547546297733E-11,3.47547546297733E-11,3.47547546297733E-11,3.47547546297733E-11
129,128-129,2.7561397608622E-11,2.7561397608622E-11,2.7561397608622E-11,2.7561397608622E-11,2.7561397608622E-11,2.7561397608622E-11,2.7561397608622E-11
130,129-130,2.18516316152773E-11,2.18516316152773E-11,2.18516316152773E-11,2.18516316152773E-11,2.18516316152773E-11,2.18516316152773E-11,2.18516316152773E-11
131,130-131,1.73205894071771E-11,1.73205894071771E-11,1.73205894071771E-11,1.73205894071771E-11,1.73205894071771E-11,1.73205894071771E-11,1.73205894071771E-11
132,131-132,1.37260203203482E-11,1.37260203203482E-11,1.37260203203482E-11,1.37260203203482E-11,1.37260203203482E-11,1.37260203203482E-11,1.37260203203482E-11
133,132-133,1.08749675931108E-11,1.08749675931108E-11,1.08749675931108E-11,1.08749675931108E-11,1.08749675931108E-11,1.08749675931108E-11,1.08749675931108E-11
134,133-134,8.61410942576413E-12,8.61410942576413E-12,8.61410942576413E-12,8.61410942576413E-12,8.61410942576413E-12,8.61410942576413E-12,8.61410942576413E-12
135,134-135,6.82176537480927E-12,6.82176537480927E-12,6.82176537480927E-12,6.82176537480927E-12,6.82176537480927E-12,6.82176537480927E-12,6.82176537480927E-12
136,135-136,5.40123501480139E-12,5.40123501480139E-12,5.40123501480139E-12,5.40123501480139E-12,5.40123501480139E-12,5.40123501480139E-12,5.40123501480139E-12
137,136-137,4.27557989013394E-12,4.27557989013394E-12,4.27557989013394E-12,4.27557989013394E-12,4.27557989013394E-12,4.27557989013394E-12,4.27557989013394E-12
138,137-138,3.38373773445255E-12,3.38373773445255E-12,3.38373773445255E-12,3.38373773445255E-12,3.38373773445255E-12,3.38373773445255E-12,3.38373773445255E-12
139,138-139,2.67752486848849E-12,2.67752486848849E-12,2.67752486848849E-12,2.67752486848849E-12,2.67752486848849E-12,2.67752486848849E-12,2.67752486848849E-12
140,139-140,2.11808348637987E-12,2.11808348637987E-12,2.11808348637987E-12,2.11808348637987E-12,2.11808348637987E-12,2.11808348637987E-12,2.11808348637987E-12
141,140-141,1.6752155218569E-12,1.6752155218569E-12,1.6752155218569E-12,1.6752155218569E-12,1.6752155218569E-12,1.6752155218569E-12,1.6752155218569E-12
142,141-142,1.3248291352852E-12,1.3248291352852E-12,1.3248291352852E-12,1.3248291352852E-12,1.3248291352852E-12,1.3248291352852E-12,1.3248291352852E-12
143,142-143,1.04738440143137E-12,1.04738440143137E-12,1.04738440143137E-12,1.04738440143137E-12,1.04738440143137E-12,1.04738440143137E-12,1.04738440143137E-12
144,143-144,8.27893309462979E-13,8.27893309462979E-13,8.27893309462979E-13,8.27893309462979E-13,8.27893309462979E-13,8.27893309462979E-13,8.27893309462979E-13
145,144-145,6.54365450714067E-13,6.54365450714067E-13,6.54365450714067E-13,6.54365450714067E-13,6.54365450714067E-13,6.54365450714067E-13,6.54365450714067E-13
146,145-146,5.17030862567935E-13,5.17030862567935E-13,5.17030862567935E-13,5.17030862567935E-13,5.17030862567935E-13,5.17030862567935E-13,5.17030862567935E-13
147,146-147,4.08451050759595E-13,4.08451050759595E-13,4.08451050759595E-13,4.08451050759595E-13,4.08451050759595E-13,4.08451050759595E-13,4.08451050759595E-13
148,147-148,3.2263081095607E-13,3.2263081095607E-13,3.2263081095607E-13,3.2263081095607E-13,3.2263081095607E-13,3.2263081095607E-13,3.2263081095607E-13
149,148-149,2.54796184151473E-13,2.54796184151473E-13,2.54796184151473E-13,2.54796184151473E-13,2.54796184151473E-13,2.54796184151473E-13,2.54796184151473E-13
150,149-150,2.01172412062078E-13,2.01172412062078E-13,2.01172412062078E-13,2.01172412062078E-13,2.01172412062078E-13,2.01172412062078E-13,2.01172412062078E-13
151,150-151,1.5887291482386E-13,1.5887291482386E-13,1.5887291482386E-13,1.5887291482386E-13,1.5887291482386E-13,1.5887291482386E-13,1.5887291482386E-13
152,151-152,1.2534417948018E-13,1.2534417948018E-13,1.2534417948018E-13,1.2534417948018E-13,1.2534417948018E-13,1.2534417948018E-13,1.2534417948018E-13
153,152-153,9.89208714941014E-14,9.89208714941014E-14,9.89208714941014E-14,9.89208714941014E-14,9.89208714941014E-14,9.89208714941014E-14,9.89208714941014E-14
154,153-154,7.80486786311485E-14,7.80486786311485E-14,7.80486786311485E-14,7.80486786311485E-14,7.80486786311485E-14,7.80486786311485E-14,7.80486786311485E-14
155,154-155,6.16173778666962E-14,6.16173778666962E-14,6.16173778666962E-14,6.16173778666962E-14,6.16173778666962E-14,6.16173778666962E-14,6.16173778666962E-14
156,155-156,4.86277684785819E-14,4.86277684785819E-14,4.86277684785819E-14,4.86277684785819E-14,4.86277684785819E-14,4.86277684785819E-14,4.86277684785819E-14
157,156-157,3.83026943495679E-14,3.83026943495679E-14,3.83026943495679E-14,3.83026943495679E-14,3.83026943495679E-14,3.83026943495679E-14,3.83026943495679E-14
158,157-158,3.01980662698043E-14,3.01980662698043E-14,3.01980662698043E-14,3.01980662698043E-14,3.01980662698043E-14,3.01980662698043E-14,3.01980662698043E-14
159,158-159,2.37587727269783E-14,2.37587727269783E-14,2.37587727269783E-14,2.37587727269783E-14,2.37587727269783E-14,2.37587727269783E-14,2.37587727269783E-14
160,159-160,1.87627691161651E-14,1.87627691161651E-14,1.87627691161651E-14,1.87627691161651E-14,1.87627691161651E-14,1.87627691161651E-14,1.87627691161651E-14
161,160-161,1.48769885299771E-14,1.48769885299771E-14,1.48769885299771E-14,1.48769885299771E-14,1.48769885299771E-14,1.48769885299771E-14,1.48769885299771E-14
162,161-162,1.16573417585641E-14,1.16573417585641E-14,1.16573417585641E-14,1.16573417585641E-14,1.16573417585641E-14,1.16573417585641E-14,1.16573417585641E-14
163,162-163,9.2148511043888E-15,9.2148511043888E-15,9.2148511043888E-15,9.2148511043888E-15,9.2148511043888E-15,9.2148511043888E-15,9.2148511043888E-15
164,163-164,7.21644966006352E-15,7.21644966006352E-15,7.21644966006352E-15,7.21644966006352E-15,7.21644966006352E-15,7.21644966006352E-15,7.21644966006352E-15
165,164-165,5.6621374255883E-15,5.6621374255883E-15,5.6621374255883E-15,5.6621374255883E-15,5.6621374255883E-15,5.6621374255883E-15,5.6621374255883E-15
166,165-166,4.55191440096314E-15,4.55191440096314E-15,4.55191440096314E-15,4.55191440096314E-15,4.55191440096314E-15,4.55191440096314E-15,4.55191440096314E-15
167,166-167,3.44169137633799E-15,3.44169137633799E-15,3.44169137633799E-15,3.44169137633799E-15,3.44169137633799E-15,3.44169137633799E-15,3.44169137633799E-15
168,167-168,2.77555756156289E-15,2.77555756156289E-15,2.77555756156289E-15,2.77555756156289E-15,2.77555756156289E-15,2.77555756156289E-15,2.77555756156289E-15
169,168-169,2.22044604925031E-15,2.22044604925031E-15,2.22044604925031E-15,2.22044604925031E-15,2.22044604925031E-15,2.22044604925031E-15,2.22044604925031E-15
170,169-170,1.77635683940025E-15,1.77635683940025E-15,1.77635683940025E-15,1.77635683940025E-15,1.77635683940025E-15,1.77635683940025E-15,1.77635683940025E-15
171,170-171,1.33226762955019E-15,1.33226762955019E-15,1.33226762955019E-15,1.33226762955019E-15,1.33226762955019E-15,1.33226762955019E-15,1.33226762955019E-15
172,171-172,1.11022302462516E-15,1.11022302462516E-15,1.11022302462516E-15,1.11022302462516E-15,1.11022302462516E-15,1.11022302462516E-15,1.11022302462516E-15
173,172-173,7.7715611723761E-16,7.7715611723761E-16,7.7715611723761E-16,7.7715611723761E-16,7.7715611723761E-16,7.7715611723761E-16,7.7715611723761E-16
174,173-174,6.66133814775094E-16,6.66133814775094E-16,6.66133814775094E-16,6.66133814775094E-16,6.66133814775094E-16,6.66133814775094E-16,6.66133814775094E-16
175,174-175,5.55111512312578E-16,5.55111512312578E-16,5.55111512312578E-16,5.55111512312578E-16,5.55111512312578E-16,5.55111512312578E-16,5.55111512312578E-16
176,175-176,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16
177,176-177,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16
178,177-178,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16,3.33066907387547E-16
179,178-179,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16
180,179-180,2.22044604925031E-16,2.22044604925031E-16,2.22044604925031E-16,2.22044604925031E-16,2.22044604925031E-16,2.22044604925031E-16,2.22044604925031E-16
181,180-181,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16
