,day,serial_interval
855,396-855,0
856,396-856,0
857,396-857,0
858,396-858,0
859,396-859,0
860,396-860,0
861,396-861,0
862,396-862,0
863,396-863,0
864,396-864,0
865,396-865,0
866,396-866,0
867,396-867,0
868,396-868,0
869,396-869,0
870,396-870,0
871,396-871,0
872,396-872,0
873,396-873,0
874,396-874,0
875,396-875,0
876,396-876,0
877,396-877,0
878,396-878,0
879,396-879,0
880,396-880,0
881,396-881,0
882,396-882,0
883,396-883,0
884,396-884,0
885,396-885,0
886,396-886,0
887,396-887,0
888,396-888,0
889,396-889,0
890,396-890,0
891,396-891,0
892,396-892,0
893,396-893,0
894,396-894,0
895,396-895,0
896,396-896,0
897,396-897,0
898,396-898,0
899,396-899,0
900,396-900,0
