country,date,proportion_alpha,proportion_delta,proportion_original
Germany,2021-09-22,3.73819861864133e-05,0.999962618013814,0
Germany,2021-09-23,3.3496149322465e-05,0.999966503850677,0
Germany,2021-09-24,3.00142309350715e-05,0.999969985769065,0
Germany,2021-09-25,2.68942475710743e-05,0.999973105752429,0
Germany,2021-09-26,2.40985790834758e-05,0.999975901420916,0
Germany,2021-09-27,2.15935152504398e-05,0.99997840648475,0
Germany,2021-09-28,1.93488494830696e-05,0.999980651150517,0
Germany,2021-09-29,1.73375147409782e-05,0.999982662485259,0
Germany,2021-09-30,1.5535257267163e-05,0.999984464742733,0
Germany,2021-10-01,1.39203442216518e-05,0.999986079655778,0
Germany,2021-10-02,1.24733016896306e-05,0.99998752669831,0
Germany,2021-10-03,1.11766799123503e-05,0.999988823320088,0
Germany,2021-10-04,1.00148429128533e-05,0.999989985157087,0
Germany,2021-10-05,8.973779981436e-06,0.999991026220018,0
Germany,2021-10-06,8.0409367517742e-06,0.999991959063248,0
Germany,2021-10-07,7.20506383133923e-06,0.999992794936169,0
Germany,2021-10-08,6.45608116400798e-06,0.999993543918836,0
Germany,2021-10-09,5.78495648695387e-06,0.999994215043513,0
Germany,2021-10-10,5.18359642187605e-06,0.999994816403578,0
Germany,2021-10-11,4.64474888384192e-06,0.999995355251116,0
Germany,2021-10-12,4.16191563334944e-06,0.999995838084367,0
Germany,2021-10-13,3.72927391834033e-06,0.999996270726082,0
Germany,2021-10-14,3.3416062594771e-06,0.999996658393741,0
Germany,2021-10-15,2.99423753502559e-06,0.999997005762465,0
Germany,2021-10-16,2.68297860228639e-06,0.999997317021398,0
Germany,2021-10-17,2.40407578333546e-06,0.999997595924217,0
Germany,2021-10-18,2.15416559801174e-06,0.999997845834402,0
Germany,2021-10-19,1.93023420236305e-06,0.999998069765798,0
Germany,2021-10-20,1.72958104671661e-06,0.999998270418953,0
Germany,2021-10-21,1.54978630617642e-06,0.999998450213694,0
Germany,2021-10-22,1.38868170096451e-06,0.999998611318299,0
Germany,2021-10-23,1.24432434778221e-06,0.999998755675652,0
Germany,2021-10-24,1.11497332910826e-06,0.999998885026671,0
Germany,2021-10-25,9.99068699325534e-07,0.999999000931301,0
Germany,2021-10-26,8.95212672880064e-07,0.999999104787327,0
Germany,2021-10-27,8.0215276621054e-07,0.999999197847234,0
Germany,2021-10-28,7.18766695162465e-07,0.999999281233305,0
Germany,2021-10-29,6.44048838482902e-07,0.999999355951162,0
Germany,2021-10-30,5.77098112630736e-07,0.999999422901887,0
Germany,2021-10-31,5.17107103470416e-07,0.999999482892897,0
Germany,2021-11-01,4.63352329393985e-07,0.999999536647671,0
Germany,2021-11-02,4.15185516744465e-07,0.999999584814483,0
Germany,2021-11-03,3.72025781403273e-07,0.999999627974219,0
Germany,2021-11-04,3.33352623838046e-07,0.999999666647376,0
Germany,2021-11-05,2.98699651901657e-07,0.999999701300348,0
Germany,2021-11-06,2.6764895599829e-07,0.999999732351044,0
Germany,2021-11-07,2.39826069226012e-07,0.999999760173931,0
Germany,2021-11-08,2.1489545165565e-07,0.999999785104548,0
Germany,2021-11-09,1.92556443900926e-07,0.999999807443556,0
Germany,2021-11-10,1.72539640796998e-07,0.999999827460359,0
Germany,2021-11-11,1.54603642221751e-07,0.999999845396358,0
Germany,2021-11-12,1.38532142535119e-07,0.999999861467857,0
Germany,2021-11-13,1.2413132222111e-07,0.999999875868678,0
Germany,2021-11-14,1.11227508869938e-07,0.999999888772491,0
Germany,2021-11-15,9.96650845186409e-08,0.999999900334915,0
Germany,2021-11-16,8.930460770884e-08,0.999999910695392,0
Germany,2021-11-17,8.00211326090761e-08,0.999999919978867,0
Germany,2021-11-18,7.17027019980776e-08,0.999999928297298,0
Germany,2021-11-19,6.42489964564064e-08,0.999999935751003,0
Germany,2021-11-20,5.75701253335836e-08,0.999999942429875,0
Germany,2021-11-21,5.15855425042844e-08,0.999999948414457,0
